/ d 755 4096 0 0 5 24 6 46
.file d 700 4096 1000 1000 6 1 1 28 /
.vol d 700 4096 1000 1000 6 1 1 28 /
Library d 755 4096 0 0 5 29 0 4 /
Volumes d 755 4096 0 0 5 29 0 4 /
dev d 755 4096 0 0 5 29 0 4 /
tmp d 755 4096 0 0 5 29 0 4 /
root d 755 4096 0 0 5 29 0 4 /
System d 755 4096 0 0 5 29 0 4 /
etc d 755 4096 0 0 5 29 0 4 /
bin d 755 4096 0 0 5 29 0 4 /
private d 755 4096 0 0 5 29 0 4 /
usr d 755 4096 0 0 5 29 0 4 /
Applications d 755 4096 0 0 5 29 0 4 /
Users d 755 4096 0 0 5 29 0 4 /
home d 755 4096 0 0 5 29 0 4 /
sbin d 755 4096 0 0 5 29 0 4 /
var d 755 4096 0 0 5 29 0 4 /
os d 755 4096 0 0 5 29 0 4 /
ko d 755 4096 1001 1001 5 29 0 5 /home
lee d 755 4096 1002 1002 5 29 0 5 /home
seo d 755 4096 1003 1003 5 29 0 5 /home
hwang d 755 4096 1005 1005 5 29 0 5 /home
jung d 755 4096 1004 1004 5 29 0 5 /home
a d 755 4096 1003 1003 5 29 15 31 /home/seo
b d 755 4096 1003 1003 5 29 15 35 /home/seo
b d 755 4096 1003 1003 5 29 15 35 /home/seo/a
a.tar a 755 0 1002 1001 5 29 12 40 /home/lee a b
a d 755 4096 1002 1002 5 29 13 58 /home/lee
b d 755 4096 1002 1002 5 29 13 58 /home/lee
passwd f 644 14 0 0 5 29 0 5 /etc
